id,title,company,location,experience,description,deadline,url,scraped_at
161,Junior Structural Engineer,Engineering,Addis Ababa,0 years,"Candidates should have a B.Sc. in Civil/Structural Engineering with at least two years of experience or an entry‑level M.Sc., demonstrating strong proficiency in Excel spreadsheet development and working knowledge of structural design codes. The successful applicant will work within company policies, guidelines, and standard operating procedures while communicating proactively across the SPEC Toolbox team.",about 12 hours left 2026-05-042026-04-06T06:53:35.842958+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69cfd6138f8fef28404fbd3a?save=true,2026-05-03 12:17:19
162,Senior Cost & Budget Accountant,Finance,Tatek,5 years,"BA Degree in Accounting and Finance
• Minimum of 5 years total experience, of which at least 3 years must be in cost and budget accounting
• Experience in a manufacturing industry is mandatory",about 12 hours left 2026-05-042026-04-30T12:16:13.802948+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f27173d4d7402010d3aa2d?save=true,2026-05-03 12:17:19
163,Junior Export Officer,Business,Addis Ababa,2 years,"Ultra Global Trading seeks a Junior Export Officer with a Bachelor's degree in Logistics, Supply Chain Management or related field and a certificate in Import & Export training. Candidates should have at least two years of relevant experience, preferably in coffee or sesame export operations. The role involves supporting the company’s export activities from its Addis Ababa head office.9",about 12 hours left 2026-05-042026-04-21T07:36:57.375015+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e5eb329f0e1d7ac70496f3?save=true,2026-05-03 12:17:19
164,Senior IT Officer,ICT,Addis Ababa,3 years,"The role requires a Bachelor's degree in Computer Science or related field and at least three years of experience within the microfinance or banking sector. Strong knowledge of core banking systems is mandatory. Candidates must submit a written application, CV and non-returnable copies of credentials within ten working days from the advertisement date.",about 12 hours left 2026-05-042026-04-20T10:44:04.985778+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e54274f3809071e3414b0b?save=true,2026-05-03 12:17:19
165,Casiher,Finance,Addis Ababa,1 years - 3 years,"12th Grade completion or  Diploma or Bachelor's Degree in Accounting and Finance or in a related field of study with relevant work experience .
Applicants with previous experience in retail or customer service are often preferred.",about 12 hours left 2026-05-042026-04-02T13:36:01.554518+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ce302addd81d0280632ba0?save=true,2026-05-03 12:17:19
166,Accountant,Finance,"Bahir Dar, Addis Ababa",2 years - 4 years,"The  Applicants must hold at least a Bachelor's degree /Level 4 qualification and have between two to four years of experience, preferably in microfinance, banking, or the business sector. The position involves managing financial records, preparing reports, and ensuring compliance with internal policies.",about 12 hours left 2026-05-042026-04-20T09:19:23.5582+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e54272cdda7a71e3320ea4?save=true,2026-05-03 12:17:19
167,Country Manager,Business,Addis Ababa,5 years,"BBC Media Action is seeking a Country Manager to lead its Addis Ababa office. The role requires a master’s degree (or equivalent) and at least five years of experience in people management and five years in office operations. Candidates must have proven ability to manage large donor-funded projects, oversee substantial budgets, and build relationships with government, donors, and media partners in Ethiopia.

The Country Manager will provide dynamic leadership for a diverse team, ensuring compliance with donor rules, local regulations, and BBC Media Action guidelines. Responsibilities include managing finance, operations, and administrative functions, delivering high-quality project outputs, and supporting portfolio expansion through new business development.

Candidates should also have experience in the media or development sector (preferably both) and demonstrate knowledge of Ethiopia’s media and development context. A police background check may be required, and applicants must hold the right to live and work in Ethiopia.",about 12 hours left 2026-05-042026-04-22T08:43:58.512721+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e615dbe7ddfe404006ce30?save=true,2026-05-03 12:17:19
168,Senior  Accountant,Finance,Addis Ababa,6 years,"This position requires a Bachelor of Arts in Accounting or a related field, with at least six years of relevant experience. Candidates must be proficient in Peachtree accounting software and possess strong computer skills. The role involves managing financial records, preparing reports, and ensuring compliance with company policies.",about 12 hours left 2026-05-042026-04-20T11:57:27.282756+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e542a8aa91ba70b3c97f93?save=true,2026-05-03 12:17:19
169,Secretary & Documentation Officer,Business,Addis Ababa,6 years,"The position requires a Bachelor's degree or Diploma in Secretarial Science, Office Management or a related field. Candidates must possess at least 6 years of relevant experience and basic computer skills. The role involves handling documentation and administrative tasks within the head office.",about 12 hours left 2026-05-042026-04-20T11:45:19.040903+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e5426d4ca09e70b3aba98f?save=true,2026-05-03 12:17:19
170,Controller Development Cooperation,Business,Addis Ababa,5 years,"Candidates must hold a higher degree in Finance or Business Administration, have at least five years of relevant experience—including three years in a financial management function—and possess excellent English and Amharic language skills.",about 12 hours left 2026-05-042026-04-15T08:14:38.002188+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69dd2f2acb3d037234afd7cd?save=true,2026-05-03 12:17:19
171,Human Rights Monitoring and Investigation,Legal Services,Addis Ababa,2 years,"This position requires a candidate with an MA or BA in Law, Human Rights Law, International Law, or related fields. The role involves managing individual human rights complaints, conducting investigations and monitoring of detention facilities and emergencies, drafting reports, providing recommendations, and developing advocacy strategies. Candidates must be computer literate, fluent in Amharic, and possess strong time‑management, analytical, adaptability, and communication skills.",about 12 hours left 2026-05-042026-04-28T07:18:57.179464+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ebd9df9f34e779620bdd9a?save=true,2026-05-03 12:17:19
172,General Account Division Head,Finance,Addis Ababa,8 years,"The General Account Division Head is responsible for overseeing the division’s financial operations, including record keeping, reporting systems, and accounting staff supervision. Candidates must hold a BA degree in Accounting & Finance and possess at least 8 years of relevant experience. The role demands strong knowledge of financial statements, ledger reconciliation, and cash flow management within a corporate finance environment.",about 12 hours left 2026-05-042026-04-28T07:35:45.984027+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eb8673a5898b7d4f27df06?save=true,2026-05-03 12:17:19
173,Operations Officer,Finance,Addis Ababa,1 years - 2 years,"The candidates must hold a Bachelor's degree in business, IT, Finance, or related field (preferred). 1–2 years of experience in operations, customer support, fintech, or banking.",about 12 hours left 2026-05-042026-04-03T12:49:50.843971+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69cfabd230e035593e07f86d?save=true,2026-05-03 12:17:19
174,Project coordinator (Operation Manager) For Road & Building projects,Engineering,Addis Ababa,10 years,"The position requires a Bachelor of Science in Civil Engineering or a related field and a renewed professional license. Candidates must demonstrate at least ten years of experience in road and building construction, with five years in a managerial role, and be proficient in engineering software.",about 12 hours left 2026-05-042026-04-20T10:54:33.979297+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e54275e9b5d570b3fd8d8d?save=true,2026-05-03 12:17:19
175,Senior Store Keeper,Low and Medium Skilled Worker,Addis Ababa,6 years,"The Senior Store Keeper position requires a Diploma or Bachelor’s degree in Supply & Stores Management or a related field. Candidates must bring original documents and a non‑returnable copy of credentials, presenting them in person at the Human Resource & Administration office within ten working days of this announcement. The role is based at the project site near Selam Pharmacy / Abyssinia Bank Ayat Gohe Branch on Ayat Tafo Road, Kibr Damena area.",about 12 hours left 2026-05-042026-04-20T11:53:27.905891+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e542a08882f770b34ea590?save=true,2026-05-03 12:17:19
176,HR and GS Officer,Business,Addis Ababa,3 years,"Candidates must hold a Bachelor’s degree in HR, Public Administration, Business Management or related fields, with at least three years of relevant experience. Strong organizational skills and attention to detail are essential for managing daily operations and maintaining compliance.",about 12 hours left 2026-05-042026-04-28T06:44:58.527169+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ecacd49709f642fdda4e1b?save=true,2026-05-03 12:17:19
177,"Senior Mechanic for Machinery & Truck, light vehicle",Engineering,Addis Ababa,8 years,"The position seeks a senior mechanic with a Diploma or Bachelor's degree in Mechanical Engineering, preferably from a related field. Candidates must have at least eight years of experience as an equipment and maintenance mechanic or in similar roles. The role is located on a project site managed by Afework Gidey General Contractor. Applicants are expected to bring their CVs and original documents for review.",about 12 hours left 2026-05-042026-04-20T12:48:10.302603+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e542633311af70b31fc5e6?save=true,2026-05-03 12:17:19
178,Controller Development Cooperation,Business,Addis Ababa,5 years,"Candidates must hold a higher degree in Finance or Business Administration, possess at least five years of relevant experience—including three years in a financial management function—and have proven experience in similar roles at an embassy or international organization.",about 12 hours left 2026-05-042026-04-14T13:09:18.302927+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69dd050022da28370ccf44c0?save=true,2026-05-03 12:17:19
179,Project Accountant,Finance,Addis Ababa,6 years,"This position requires a Diploma or Bachelor's degree in Accounting or a related field, with at least six years of relevant experience. Candidates must possess computer knowledge and be prepared to submit their CV and original documents personally to the Human Resources & Administration office within ten working days from the announcement date.",about 12 hours left 2026-05-042026-04-20T11:04:27.538056+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e542a67326c970b37edd80?save=true,2026-05-03 12:17:19
180,Accountant,Finance,Addis Ababa,1 years,"The candidates must hold a Bachelor’s degree in Accounting, Finance, or related field. Proven experience as an Accountant Attention to detail and accuracy.",about 12 hours left 2026-05-042026-04-03T09:07:33.143389+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69cf81b79858221540d4f51e?save=true,2026-05-03 12:17:19
181,Data Encoder (5),Finance,Addis Ababa,0 years - 1 years,"BA Degree in Accounting and Finance
Duties and Responsibilities
Accurately input maintenance records, work orders, and service reports into the computerized maintenance management system (CMMS) or database. 
-Encode preventive, corrective, and predictive maintenance data as provided by maintenance technicians or engineers.
-Ensure that all entries are complete, accurate, and compliant with company data standard.",about 12 hours left 2026-05-042026-04-30T06:56:23.922967+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f2716eb5faa92010b145a9?save=true,2026-05-03 12:17:19
182,Production Geologist,Engineering,Assosa,3 years - 5 years,"A Production Geologist with a Master's Degree or Bachelor's Degree in Geology and 4–5 years of open‑pit production geology experience is sought to collect, interpret, and model geological data for the Kurmuk Gold Mine PLC. Responsibilities include grade control, ore body mapping, field sampling, 3D modelling using GIS/Leapfrog, on‑site support.",about 12 hours left 2026-05-042026-04-23T07:42:26.054918+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e88e3705c6dd7d42ff7a02?save=true,2026-05-03 12:17:19
183,Assistant Pharmacist,Health Care,Addis Ababa,0 years,"Candidates must hold a degree in Clinical Pharmacy or Pharmacy, have proven experience assisting in a pharmacy setting, and demonstrate meticulous attention to detail and trustworthiness. Strong teamwork, communication, and customer‑service skills are essential for interacting with patients and healthcare professionals.",about 12 hours left 2026-05-042026-04-07T08:38:52.61491+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69d3a053d01fa67c85a827f6?save=true,2026-05-03 12:17:19
184,HR and Administration Officer,Business,Addis Ababa,2 years - 3 years,"The position requires a Bachelor’s degree in HR, Business Administration, or related field and 2–3 years of proven NGO experience in HR or administrative roles. The role involves managing daily office operations, employee records, recruitment activities, training coordination, policy implementation, time‑off management, report preparation, and compliance with local labor laws. Candidates must exhibit strong organizational, communication, and computer skills, maintain discretion with confidential information, and possess proficiency in MS Office and HR software.",about 12 hours left 2026-05-042026-04-28T07:23:27.146937+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ef25b29dc9ff7124dd8f47?save=true,2026-05-03 12:17:19
185,Electro Mechanical Technician (Irrigation Systems & Power Equipment),Engineering,Addis Ababa,8 years,"The Electro Mechanical Technician at Kerchan She will install, operate, maintain, and repair irrigation pumping systems, generators, electrical control panels, electronic systems, and automatic control units. Candidates must hold a diploma or degree in Electro‑Mechanical Engineering, Electrical Engineering, or a related field, and possess eight years of relevant experience with irrigation pumps, generators, and electrical systems. Strong knowledge of motors, starters, control circuits, automation basics, and safety standards is required.",about 12 hours left 2026-05-042026-04-28T07:32:36.229719+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ef7a2406b3347f7c17cb85?save=true,2026-05-03 12:17:19
186,Senior Surveyor,Engineering,Addis Ababa,6 years,"The position requires a Diploma or Bachelor's degree in Surveying Technology (or related field) and at least six years of experience in building or road construction. Candidates must hold a renewed professional license and be proficient with engineering software. The role involves on‑site project work, with responsibilities centred around surveying tasks essential to construction projects.",about 12 hours left 2026-05-042026-04-20T08:56:58.059199+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e5426e7eaa6971e3783b73?save=true,2026-05-03 12:17:19
187,Reconciliation Specialist (Merchant Acquisition Focus),Finance,Addis Ababa,2 years - 4 years,"The role requires a Bachelor’s degree in Finance, Accounting, Business, Economics or a related field and 2–4 years of experience in reconciliation, payments or finance operations. Candidates should have strong analytical and problem‑solving abilities, high attention to detail, and preferably experience within fintech or banking environments.",about 12 hours left 2026-05-042026-04-06T08:52:26.706916+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69cfd63bae88402840bbdd57?save=true,2026-05-03 12:17:19
188,Finance Manager,Finance,Addis Ababa,5 years,"The applicants must hold a Bachelor’s degree in Finance, Accounting, Economics, or related field. 5+ years of relevant experience (preferably in fintech or banking)",about 12 hours left 2026-05-042026-04-03T12:14:45.178396+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69cfabd59d55dd593e1b983b?save=true,2026-05-03 12:17:19
189,Volunteer Opportunity: Marketing & Sales Support – Charity Run & Walk,Business,Addis Ababa,0 years,"The candidates must be College students and above. Actively sell event T‑shirts to participants, supporters, and the community",about 12 hours left 2026-05-042026-04-03T11:35:10.10204+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69cf81d33e5a4a154059f707?save=true,2026-05-03 12:17:19
190,Communications Manager,Legal Services,Addis Ababa,7 years,"Plan International Ethiopia seeks a Communications Manager to lead internal and external communications, enhancing the organization’s public profile while ensuring rights‑based messaging for advocacy, programs, and fundraising. The role requires a BA/MA in Political Science, Law, Development Studies, Communications or related field, with advanced training in advocacy or human rights considered an asset. Candidates must be fluent in English and Amharic, have at least seven years of experience in humanitarian settings, and demonstrate proven success in developing and executing communication strategies, media relations, digital content, and stakeholder engagement.",about 12 hours left 2026-05-042026-04-23T08:36:34.532379+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e936d878f7ca7f13739833?save=true,2026-05-03 12:17:19
191,Quality Control Head,Engineering,Addis Ababa,8 years - 8 years,"Candidates should hold an Master's Degree or Bachelor's Degree in Industrial Chemistry or a related field, with 6 to 8 years of relevant work experience, preferably from the labeling and printing sector. The position requires strong leadership skills, a deep understanding of quality control processes, and the ability to develop and implement effective QA procedures within the company's manufacturing operations.",about 12 hours left 2026-05-042026-04-23T12:03:53.450923+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e9e0714a9c297620cb0cbc?save=true,2026-05-03 12:17:19
192,Logistics Coordinator,Business,Addis Ababa,3 years,"This role is for a Logistics Coordinator at MAG International’s Ethiopia programme, responsible for procurement and logistics support across the country, including field operations in Tigray. Candidates must hold a minimum of three years’ experience in procurement and logistics within humanitarian or mine‑action contexts, be proficient in English and Amharic, and possess strong negotiation, asset management, and administrative skills.",about 12 hours left 2026-05-042026-04-21T11:06:43.947474+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e63fa03724dc03e99e7c94?save=true,2026-05-03 12:17:19
193,Senior General Accountant,Finance,Tatek,5 years - 10 years,"BA Degree in Accounting & Finance, or in a related field with relevant work experience",about 12 hours left 2026-05-042026-04-30T07:29:44.574462+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f2717753a95a2010edca92?save=true,2026-05-03 12:17:19
194,Quantity Surveyor,Low and Medium Skilled Worker,Addis Ababa,6 years,The position requires an Advance Diploma or Bachelor's degree in Civil Engineering (or related field) and at least six years of experience in building or road construction. Candidates must hold a renewed professional license and be proficient with engineering software.,about 12 hours left 2026-05-042026-04-20T08:41:18.614951+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e5427123f84171e3772e2d?save=true,2026-05-03 12:17:37
195,Numeracy Project Officer (Re-Advert),Business,Wolaita Sodo,5 years,"Link Education Ethiopia is recruiting a Numeracy Project Officer to support its numeracy initiatives in Wolaita Soddo. The role requires a university degree in education with a focus on numeracy, strong project management skills and at least five years of relevant experience. Candidates should possess deep knowledge of Ethiopia’s grade 1‑3 curriculum, be proficient in both English and Amharic, and have demonstrated ability to design teacher training materials and community engagement strategies. The position is part of a full‑time, one‑year contract aimed at strengthening foundational numeracy outcomes for primary students.",about 12 hours left 2026-05-042026-04-22T07:58:54.126949+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e7916c94d1217ff702b43b?save=true,2026-05-03 12:17:37
196,Senior Office Engineer,Engineering,Addis Ababa,8 years,"This position requires a Bachelor's degree in Civil Engineering or a related field, with at least eight years of experience in building or road construction. Candidates must hold a renewed professional license and be proficient in engineering software. The role is based at the company’s head office/project site.",about 12 hours left 2026-05-042026-04-20T11:55:45.483462+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e542748eb13371e398d88a?save=true,2026-05-03 12:17:37
197,Trading Operation Manager,Business,Addis Ababa,12 years,"This position requires a Bachelor's degree in Sales & Marketing Management or a related field and at least 12 years of experience in import/export trading and manufacturing, with a minimum of five years in a managerial role. Candidates must also possess 10–12 years of marketing experience, demonstrating proven results in business development and strong knowledge of digital marketing and brand management.",about 12 hours left 2026-05-042026-04-20T10:56:53.883096+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e542a4a03a8d70b3627931?save=true,2026-05-03 12:17:37
198,Mapping Geologist,Engineering,Assosa,3 years - 5 years,"Candidates must hold a Master's Degree or Bachelor's Degree in Geology (or related field) from a recognised institution. The role requires proficiency in geological mapping, sampling, and 3D modelling using software such as Leapfrog or similar. Applicants should demonstrate strong analytical skills, experience with grade control systems, and advanced Excel capabilities. Physical fitness for outdoor mining tasks and effective communication in English are essential.",about 12 hours left 2026-05-042026-04-23T07:17:22.998867+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e88e2f132b1c7c1ebfe380?save=true,2026-05-03 12:17:37
199,RAN Optimization Team Lead,ICT,Addis Ababa,5 years - 8 years,"This role requires a highly experienced RAN Optimization & Tuning Team Lead/Solution Architect with deep expertise across 2G, 3G, 4G/LTE, and 5G NR networks. Candidates must have strong reporting and stakeholder communication skills and be able to lead test teams, conduct field drive tests, supervise technicians and drivers, manage site surveys, interpret technical drawings, and ensure compliance with design standards and safety policies.",about 12 hours left 2026-05-042026-04-28T07:30:28.888374+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eb865d5254de7d4f727eab?save=true,2026-05-03 12:17:37
200,Marketer,Business,Addis Ababa,1 years,"The candidates must hold a bachelor's degree/Diploma in any field. Minimum 1+ year experience in sales, marketing, property management, Real Estate",about 12 hours left 2026-05-042026-04-03T11:43:19.347134+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69cf81ca6f46bf1540869a9c?save=true,2026-05-03 12:17:37
201,National Immunization Strategy (NIS) and PHC costing consultant (National),Health Care,Addis Ababa,10 years,"UNICEF seeks a highly qualified consultant to support the National Immunization Strategy (NIS) and Primary Health Care (PHC) costing initiatives in Ethiopia. The role requires an advanced university degree in health economics, public health, or related fields and extensive experience in cost analysis within low‑income settings.",about 12 hours left 2026-05-042026-05-02T06:30:58.237322+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f1c8e900772744968fa16c?save=true,2026-05-03 12:17:37
202,Junior General Accountant (2),Finance,Addis Ababa,1 years,"BA Degree in Accounting or in a related field with relevant work experience
Duties & Responsibilities:
 - May audit financial data, resolve insolvency cases, prepare tax returns and provide other tax-related advice in reference to current legislation.",about 12 hours left 2026-05-042026-04-30T12:25:56.641471+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f271753fbde82010c43a1c?save=true,2026-05-03 12:17:37
203,driver,Transportation & Logistics,Addis Ababa,3 years,"The position seeks a licensed driver with at least three years of professional experience and a minimum education level of 10th grade completion, preferably higher secondary. Candidates must be aged between 21 and 40 and able to work full‑time permanently. The role involves operating company vehicles safely across Addis Ababa and the surrounding Saar Bet area, performing pre‑trip checks, maintaining accurate logs, and ensuring timely delivery of goods.",about 12 hours left 2026-05-042026-04-28T07:37:52.866915+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ee7d417a2d746d953e796e?save=true,2026-05-03 12:17:37
204,General Manager (GM),Business,Addis Ababa,10 years,"The role requires a Master’s degree in Business Administration, Economics, Agribusiness or related fields, with at least ten years of progressive professional experience, including five years in senior management or executive leadership positions. Candidates must demonstrate proven expertise in trade association management, export promotion, and stakeholder engagement, as well as strong communication skills in English and Amharic.",about 12 hours left 2026-05-042026-04-21T08:59:19.744332+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e63f82fd192003e931a4a9?save=true,2026-05-03 12:17:37
205,GBV Response Officer,Social Science,Dasenech,3 years,"Candidates must hold an MA/MSc/BA/BSC in social work‑related fields such as Sociology, Psychology or Gender Studies and have at least three years of relevant experience (or two years for advanced degrees).",about 12 hours left 2026-05-042026-04-30T11:02:40.346928+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f11ff5543ba92ebaee757b?save=true,2026-05-03 12:17:37
206,Driver (Office Support),Transportation & Logistics,Addis Ababa,2 years - 4 years,"The position requires a minimum high school qualification and 2–4 years of driving experience, preferably with company or organizational exposure. Office support or messenger duties are advantageous. The role is based in Addis Ababa at Ultra Global Trading’s head office.",about 12 hours left 2026-05-042026-04-21T10:52:42.603065+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e5eb1edec1e27ac790217a?save=true,2026-05-03 12:17:37
207,Senior Finance Officer,Finance,Addis Ababa,4 years,"Senior Finance Officer responsible for managing financial records, reporting and budgeting within the Finance Department. Requires a Master's Degree or Bachelor's Degree in Accounting/Finance with 4 years of experience for BA holders and 2 years for MAD graduates. Excellent English proficiency is mandatory; Amharic and Afan Oromo are preferred.",about 12 hours left 2026-05-042026-04-27T11:26:52.559271+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ed012ba887e03c26580410?save=true,2026-05-03 12:17:37
208,Human Rights Monitoring and Investigation,Legal Services,Addis Ababa,4 years,"This position seeks a candidate with a Master’s or Bachelor’s degree in Law, LLM, Human Rights Law, or International Law. Applicants must have at least four years of relevant experience if holding a BA, and two years for those with an MA. The role requires strong computer literacy and proficiency in Amharic, with additional local language skills considered advantageous.",about 12 hours left 2026-05-042026-04-28T07:26:55.528905+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eb864b6ea2ec7d4f1df35d?save=true,2026-05-03 12:17:38
209,Client Service Representative,Hospitality,Addis Ababa,2 years,"International Clinical Laboratories (ICL) seeks a Client Service Representative with a diploma or degree in health‑related fields such as nursing, health officer, or medical laboratory science. Candidates must have at least two years of experience in a similar client‑facing role and be proficient in basic Microsoft Office applications.",about 12 hours left 2026-05-042026-04-24T06:26:06.721608+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ea34595e9c0608a952700e?save=true,2026-05-03 12:17:38
210,Mining  Superintendent,Engineering,Addis Ababa,5 years - 10 years,"The Mining Superintendent will lead open‑pit mining operations, ensuring safety, productivity and compliance. Candidates must hold a degree or MSc in Mining Engineering (or related field) and possess 5–10 years of experience, including 3–5 years in supervisory roles. A valid blasting certificate and driver’s licence are required.

Responsibilities include managing daily production, coordinating contractors, optimizing drilling and hauling activities, and driving continuous improvement initiatives. The role requires strong leadership, safety awareness, planning skills, and the ability to work effectively in a multicultural environment.

Applicants should have proven team‑management experience, sound knowledge of mining methods and safety regulations, and be able to adapt quickly to changing business needs.",about 12 hours left 2026-05-042026-04-28T07:29:06.767684+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ef260f00f36871242c513c?save=true,2026-05-03 12:17:38
211,Senior Supply and Property Administration,Business,Addis Ababa,8 years - 6 years,"This role requires a Diploma or Bachelor's degree in Supply & Stores Management (or related field). Candidates must possess at least 8 years of relevant experience and basic computer skills. The position is located at the Head Office in the Afework Gidey General Contractor Building, 2nd floor, Ayat Tafo Road, Kibr Damena area, Selam Pharmacy / Abyssinia Bank Ayat Gohe Branch.",about 12 hours left 2026-05-042026-04-20T12:01:23.119664+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e542a2ca83a370b3d42242?save=true,2026-05-03 12:17:38
212,Project Manager,Engineering,Addis Ababa,8 years,"The position seeks a qualified Project Manager with a Bachelor's degree in Civil Engineering or related field and at least 8 years of experience in road construction. Candidates must hold a renewed professional license and be proficient in engineering software. The role involves overseeing project execution, ensuring compliance with standards, managing resources, and coordinating with stakeholders to deliver projects on time and within budget.",about 12 hours left 2026-05-042026-04-20T11:48:28.721978+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e5426bdb752571e349f6d9?save=true,2026-05-03 12:17:38
213,Driver for CEO,Transportation & Logistics,Addis Ababa,3 years - 5 years,"Ultra Global Trading seeks a professional driver to serve the CEO. Candidates must hold at least a high school diploma and have 3–5 years of driving experience, preferably with senior management. The role is based in Addis Ababa’s head office, offering a negotiable salary for qualified applicants.",about 12 hours left 2026-05-042026-04-21T10:38:49.726925+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e5eb21c5fef47ac7094150?save=true,2026-05-03 12:17:38
214,Sales  and Marketing manager,Business,Addis Ababa,7 years,"The role requires a Bachelor's degree in Marketing, Management or Business Administration, seven years of relevant experience, and four years in a managerial position within food manufacturing. Candidates must develop sales strategies, lead teams, build client relationships, analyze market trends, set KPIs, and report performance to senior management.",about 12 hours left 2026-05-042026-04-09T07:08:03.850376+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69d6434e2c94ae3c42b9b853?save=true,2026-05-03 12:17:38
215,Underwriting Officer II,Business,Bishoftu,2 years,"The role requires a BA or BSc degree in Marketing, Business Administration, Management, Accounting, Engineering, Statistics, or a related field. Candidates should have a minimum of 2 years of work experience in the insurance sector, with a good understanding of industry practices, customer service, and analytical skills.",about 12 hours left 2026-05-042026-04-30T11:07:37.742437+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f27183d14eba2010c36c4b?save=true,2026-05-03 12:17:38
216,Collections and Exhibitions Lead / Strengthening African-European Museum Partnerships (M/W),Creative Arts,Addis Ababa,7 years,"The role requires a University degree (Master’s level or equivalent) in cultural heritage management, museum studies, cultural cooperation, architecture, innovation or a relevant field. Minimum of 7 years of experience in heritage-related projects, including experience in museum management and/or conservation, and/or exhibition curation.",about 12 hours left 2026-05-042026-04-24T08:15:08.319761+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eab29444291d3a90f3d863?save=true,2026-05-03 12:17:38
217,Personnel Officer,Business,Addis Ababa,6 years,The Personnel Officer position requires a Bachelor’s degree in Management or a related field and a minimum of six years’ experience in personnel management. Candidates must possess computer knowledge and be able to submit their CV and original documents in person at the company headquarters.,about 12 hours left 2026-05-042026-04-21T07:53:56.809734+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e6157579e2ea3c7b1f629c?save=true,2026-05-03 12:17:38
218,Archive Officer,Business,Addis Ababa,8 years,The position requires a Diploma or Bachelor's degree in Management or a related field. Applicants must have at least eight years of relevant experience and possess computer knowledge. The role is based at the head office.,about 12 hours left 2026-05-042026-04-21T08:44:58.295381+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e615732889e33c7be79589?save=true,2026-05-03 12:17:38
